date	TEM_max	TEM_min
2006-2-7	-1.06	-4.97
2006-2-8	-2.25	-7.47
2006-2-9	-0.32	-10.84
2006-2-10	1.24	-3.12
2006-2-11	0.11	-3.82
2006-2-12	-0.34	-12.51
2006-2-13	-0.88	-7.41
2006-2-14	8.88	-4.81
2006-2-15	7.39	2.54
2006-2-16	15.01	2.86
2006-2-17	3.18	-5.43
2006-2-18	-5.5	-15.09
2006-2-19	-6.3	-15.51
2006-2-20	-1.42	-10.81
2006-2-21	3.47	-5.43
2006-2-22	8.38	-5.03
2006-2-23	8.99	-4.45
2006-2-24	4.39	-8.19
2006-2-25	5.43	-6.07
2006-2-26	-0.97	-9.11
2006-2-27	2.66	-6.1
2006-2-28	4.26	-7.79
2006-3-1	3.52	-3.74
2006-3-2	3.38	-2.01
2006-3-3	0.88	-5.26
2006-3-4	4.33	-7.95
2006-3-5	5.29	-7.98
2006-3-6	1.47	-2.36
2006-3-7	5.77	-8.79
2006-3-8	9.31	1.85
2006-3-9	13.9	7.64
2006-3-10	11.81	1.44
2006-3-11	15.19	0.34
2006-3-12	17.78	10.91
2006-3-13	19.76	2.28
2006-3-14	4.73	-1.94
2006-3-15	5.97	-1.73
2006-3-16	2.95	-1.51
2006-3-17	4.01	-4.02
2006-3-18	4.42	-5.92
2006-3-19	8.11	-6.68
2006-3-20	3.43	-4.98
2006-3-21	0.63	-5.49
2006-3-22	6.17	-6.37
2006-3-23	5.09	-1.53
2006-3-24	4.76	-2.14
2006-3-25	5.93	-0.47
2006-3-26	6.81	-1.98
2006-3-27	10.39	-5.47
2006-3-28	7.55	3.79
2006-3-29	11.16	3.07
2006-3-30	19.74	0.99
2006-3-31	20.57	10.32
2006-4-1	10.23	6.02
2006-4-2	12.53	5.66
2006-4-3	12.03	1.24
2006-4-4	9.76	-2.01
2006-4-5	12.68	-0.45
2006-4-6	17.08	2.57
2006-4-7	20.34	1.85
2006-4-8	8.02	-0.92
2006-4-9	13.59	-4.01
2006-4-10	18.91	-0.24
2006-4-11	22.89	4.44
2006-4-12	22.96	10.91
2006-4-13	24.49	7.96
2006-4-14	26.43	13.52
2006-4-15	23.82	10.39
2006-4-16	19.47	8.58
2006-4-17	16.58	5.93
2006-4-18	19.89	3.04
2006-4-19	23.82	6.63
2006-4-20	25.19	6.42
2006-4-21	23.77	9.22
2006-4-22	23.14	4.84
2006-4-23	19.53	5.77
2006-4-24	19.98	4.46
2006-4-25	12.66	1.78
2006-4-26	16.9	-2.2
2006-4-27	21.99	4.67
2006-4-28	18.5	2.28
2006-4-29	20.06	5.74
2006-4-30	15.3	10.37
2006-5-1	17.31	11.38
2006-5-2	17.82	11.42
2006-5-3	24.33	9.31
2006-5-4	20.68	8.43
2006-5-5	18.68	6.72
2006-5-6	16	5.09
2006-5-7	20.48	2.84
2006-5-8	22.46	3.43
2006-5-9	24.67	8.65
2006-5-10	23.16	13.23
2006-5-11	14.02	5.27
2006-5-12	6.96	3.38
2006-5-13	11.04	5.79
2006-5-14	12.21	6.87
2006-5-15	13.81	10.41
2006-5-16	16.72	9.64
2006-5-17	21.29	8.99
2006-5-18	14.76	6.83
2006-5-19	16.63	6.65
2006-5-20	20.26	3.31
2006-5-21	15.01	4.84
2006-5-22	17.06	2.19
2006-5-23	22.51	2.79
2006-5-24	24.38	6.22
2006-5-25	27.53	14.31
2006-5-26	23.25	15.95
2006-5-27	29.18	13.25
2006-5-28	32.81	16.92
2006-5-29	33.79	18.77
2006-5-30	33.12	20.17
2006-5-31	30.03	18.74
2006-6-1	23.09	18.79
2006-6-2	25.12	14.6
2006-6-3	23.93	12.51
2006-6-4	24.27	12.17
2006-6-5	27.83	9.37
2006-6-6	28.01	12.26
2006-6-7	23.63	15.84
2006-6-8	25.93	15.88
2006-6-9	23.18	14.53
2006-6-10	20.41	10.86
2006-6-11	21.81	10.39
2006-6-12	23.43	10.95
2006-6-13	24.72	10.5
2006-6-14	25.73	13.14
2006-6-15	27.67	11.56
2006-6-16	30.71	16.72
2006-6-17	32.19	16.11
2006-6-18	25.33	18.72
2006-6-19	28.66	17.22
2006-6-20	26.95	14.51
2006-6-21	30.48	17.46
2006-6-22	28.93	18.77
2006-6-23	26.41	17.22
2006-6-24	26.63	14.73
2006-6-25	27.36	13.79
2006-6-26	28.46	14.24
2006-6-27	26	17.35
2006-6-28	26.18	13.41
2006-6-29	24.58	12.8
2006-6-30	27.36	10.73
2006-7-1	30.87	14.69
2006-7-2	29.72	18.41
2006-7-3	26.38	16.94
2006-7-4	28.43	16.92
2006-7-5	23.03	13.49
2006-7-6	25.66	12.33
2006-7-7	27.49	11.44
2006-7-8	27.24	11.83
2006-7-9	28.39	16.43
2006-7-10	28.32	19.58
2006-7-11	24.74	17.96
2006-7-12	26.38	20.41
2006-7-13	29.81	18.88
2006-7-14	29.13	18.12
2006-7-15	31.97	19.63
2006-7-16	32.85	17.26
2006-7-17	31.29	19.74
2006-7-18	28.34	18.74
2006-7-19	30.84	17.06
2006-7-20	27.64	19.94
2006-7-21	28.03	19.89
2006-7-22	25.1	15.57
2006-7-23	27.33	14.17
2006-7-24	29.24	13.38
2006-7-25	30.01	19.15
2006-7-26	27.62	20.23
2006-7-27	25.96	20.68
2006-7-28	29.99	20.21
2006-7-29	32.27	19.13
2006-7-30	31.32	22.01
2006-7-31	34	22.64
2006-8-1	33.71	22.78
2006-8-2	33.34	24.11
2006-8-3	28.28	18.46
2006-8-4	30.55	17.01
2006-8-5	29.61	17.12
2006-8-6	29	16.07
2006-8-7	29.76	18.54
2006-8-8	27.44	15.59
2006-8-9	28.01	13.74
2006-8-10	27.17	18.27
2006-8-11	26.38	12.44
2006-8-12	27.08	10.37
2006-8-13	28.05	8.94
2006-8-14	25.39	14.36
2006-8-15	27.49	10.54
2006-8-16	28.93	9.28
2006-8-17	29.9	13.25
2006-8-18	28.07	19.47
2006-8-19	28.12	19.13
2006-8-20	25.28	12.96
2006-8-21	27.42	10.71
2006-8-22	29.33	11.2
2006-8-23	29.56	15.5
2006-8-24	28.3	18.07
2006-8-25	28.95	17.12
2006-8-26	29.31	18.09
2006-8-27	27.33	20.91
2006-8-28	21.52	17.26
2006-8-29	20.68	15.88
2006-8-30	24.94	17.24
2006-8-31	24.33	15.64
2006-9-1	23.86	15.79
2006-9-2	24.94	11.44
2006-9-3	23.91	10.71
2006-9-4	23.52	9.71
2006-9-5	24.44	10.21
2006-9-6	26.14	10.05
2006-9-7	26.79	10.61
2006-9-8	28.3	12.3
2006-9-9	28.26	13.32
2006-9-10	17.14	13.23
2006-9-11	21.32	12.68
2006-9-12	22.39	17.03
2006-9-13	18.72	16.02
2006-9-14	21.65	11.92
2006-9-15	25.51	9.92
2006-9-16	24.81	9.17
2006-9-17	28.93	12.48
2006-9-18	23.09	13.79
2006-9-19	16.97	8.02
2006-9-20	15.21	4.03
2006-9-21	20.3	1.56
2006-9-22	18.68	11.13
2006-9-23	22.24	13.77
2006-9-24	17.87	6.02
2006-9-25	21.47	4.71
2006-9-26	22.22	6.04
2006-9-27	22.58	10.54
2006-9-28	14.73	4.89
2006-9-29	17.1	3.99
2006-9-30	17.78	6.96
2006-10-1	22.53	5.68
2006-10-2	22.53	8.83
2006-10-3	27.64	12.35
2006-10-4	21.54	11.58
2006-10-5	16.43	6.56
2006-10-6	17.24	3.02
2006-10-7	20.77	1.6
2006-10-8	23.09	1.56
2006-10-9	26.16	5.99
2006-10-10	18.01	10.27
2006-10-11	16.76	4.35
2006-10-12	6.24	-0.24
2006-10-13	10.63	-0.67
2006-10-14	12.01	0.59
2006-10-15	13.79	-2.2
2006-10-16	13.41	7.21
2006-10-17	14.19	8.79
2006-10-18	17.78	11.31
2006-10-19	16.09	5.91
2006-10-20	11.13	5.05
2006-10-21	17.26	5.84
2006-10-22	9.84	2.09
2006-10-23	4.33	0.83
2006-10-24	8.16	-1.17
2006-10-25	11.27	-2.31
2006-10-26	6.65	-2.46
2006-10-27	6.44	4.06
2006-10-28	9.31	0.81
2006-10-29	12.12	0.79
2006-10-30	21.9	0.07
2006-10-31	16.45	1.6
2006-11-1	7.59	-3.59
2006-11-2	2.05	-6.33
2006-11-3	3.76	-6.99
2006-11-4	9.35	-6.92
2006-11-5	12.35	4.8
2006-11-6	15.57	4.12
2006-11-7	11.11	7.62
2006-11-8	11.16	7.91
2006-11-9	20.19	7.14
2006-11-10	12.14	4.39
2006-11-11	6.47	2.46
2006-11-12	3.99	0.18
2006-11-13	4.37	0.97
2006-11-14	7.12	3.24
2006-11-15	7.71	4.24
2006-11-16	5.82	1.4
2006-11-17	4.19	0.41
2006-11-18	6.19	-0.24
2006-11-19	5.27	-0.16
2006-11-20	5.61	-3.93
2006-11-21	7.44	-5.77
2006-11-22	10.61	-5.68
2006-11-23	11.49	-3.53
2006-11-24	12.44	-3.16
2006-11-25	16.58	-0.99
2006-11-26	16.45	5.03
2006-11-27	15.3	6.06
2006-11-28	17.91	7.48
2006-11-29	18.46	11.94
2006-11-30	17.48	3.43
2006-12-1	4.91	-2.46
2006-12-2	1.42	-5.7
2006-12-3	-2.14	-8.67
2006-12-4	-3.34	-10.28
2006-12-5	-0.81	-6.3
2006-12-6	6.78	-1.39
2006-12-7	-1.42	-9.83
2006-12-8	-5.09	-12.01
2006-12-9	3.69	-6.79
2006-12-10	9.46	-0.92
2006-12-11	11.94	3.24
2006-12-12	10.93	5
2006-12-13	11.06	2.68
2006-12-14	12.89	2.03
2006-12-15	7.44	-1.98
2006-12-16	11.89	-2.18
2006-12-17	12.93	5.54
2006-12-18	6.98	0.04
2006-12-19	5.88	-4.76
2006-12-20	4.24	-6.79
2006-12-21	6.36	2.52
2006-12-22	13	5.61
2006-12-23	6.36	2.82
2006-12-24	7.87	-0.04
2006-12-25	3.41	0.18
2006-12-26	2.64	-0.7
2006-12-27	3.49	-2.27
2006-12-28	7.79	1.42
2006-12-29	10.52	0.97
2006-12-30	11.54	0.02
2006-12-31	11.63	3.02
2007-1-1	6.76	-1.17
2007-1-2	5.95	-3.88
2007-1-3	8.74	-1.82
2007-1-4	8.83	3.22
2007-1-5	10.32	8
2007-1-6	8.7	-1.33
2007-1-7	1.31	-3.96
2007-1-8	3.02	-1.35
2007-1-9	0.16	-3.21
2007-1-10	-0.18	-4.76
2007-1-11	6.42	-2.23
2007-1-12	10.95	3.88
2007-1-13	6.13	-0.43
2007-1-14	1.24	-0.56
2007-1-15	1.64	-2.28
2007-1-16	-2.4	-7.62
2007-1-17	-1.37	-8.79
2007-1-18	1.04	-5.62
2007-1-19	-0.67	-5.36
2007-1-20	-0.99	-9.03
2007-1-21	-2.72	-5.28
2007-1-22	-0.49	-3.44
2007-1-23	-1.24	-4.32
2007-1-24	-0.74	-4.96
2007-1-25	-3.78	-7.18
2007-1-26	3.79	-7.79
2007-1-27	4.84	-2.41
2007-1-28	-2.49	-15.86
2007-1-29	-5.94	-14.93
2007-1-30	-5.85	-12.51
2007-1-31	-8.08	-16.72
2007-2-1	-4.06	-9.43
2007-2-2	-5.79	-15.56
2007-2-3	-10.04	-17.93
2007-2-4	-15.78	-21.71
2007-2-5	-14.64	-20.85
2007-2-6	-13.69	-22.03
2007-2-7	-7.94	-18.69
2007-2-8	-8.59	-17.28
2007-2-9	-6.11	-18.74
2007-2-10	-6.16	-17.09
2007-2-11	-3.43	-17.94
2007-2-12	-0.49	-4.59
2007-2-13	-4.45	-11.73
2007-2-14	-8.49	-16.74
2007-2-15	-6.73	-18.69
2007-2-16	-10.33	-20.84
2007-2-17	-3.26	-14.13
2007-2-18	-4.78	-16.2
2007-2-19	5.99	-14.35
2007-2-20	4.28	-2.75
2007-2-21	2.93	-3.48
2007-2-22	3.36	-3.17
2007-2-23	0.36	-9.93
2007-2-24	-2.03	-7.43
2007-2-25	5	-3.67
2007-2-26	0.59	-1.08
2007-2-27	0.83	-1.7
2007-2-28	2.28	-6.1
2007-3-1	7.53	0.6
2007-3-2	2.34	-1.76
2007-3-3	-1.6	-5.66
2007-3-4	-1.24	-6.65
2007-3-5	1.24	-10.37
2007-3-6	-6.12	-14.07
2007-3-7	0.04	-11.59
2007-3-8	2.03	-14.94
2007-3-9	11.02	-7.7
2007-3-10	10.46	0.49
2007-3-11	12.08	-2.18
2007-3-12	12.89	-0.65
2007-3-13	22.35	4.1
2007-3-14	21.79	4.42
2007-3-15	5.34	-2.27
2007-3-16	4.46	-4.01
2007-3-17	3.56	-6.33
2007-3-18	6.49	-7.32
2007-3-19	10.93	0.25
2007-3-20	6.47	-2.64
2007-3-21	22.01	-2.65
2007-3-22	17.22	7.46
2007-3-23	8.18	4.76
2007-3-24	18.99	6.04
2007-3-25	25.06	9.96
2007-3-26	25.42	16.36
2007-3-27	25.3	14.67
2007-3-28	14.49	7.21
2007-3-29	14.87	3.69
2007-3-30	21.68	1.85
2007-3-31	11.54	6.17
2007-4-1	20.26	8.52
2007-4-2	20.28	7.12
2007-4-3	24.31	7.96
2007-4-4	13.68	-2.94
2007-4-5	-0.43	-3.74
2007-4-6	-0.38	-6.22
2007-4-7	-1.44	-7.4
2007-4-8	1.15	-5.52
2007-4-9	3.29	-1.51
2007-4-10	9.6	-5.6
2007-4-11	6.89	0.27
2007-4-12	6.92	2.07
2007-4-13	11.04	-0.11
2007-4-14	5.46	-1.06
2007-4-15	11.2	-2.47
2007-4-16	13.57	0.34
2007-4-17	19.98	0.04
2007-4-18	9.19	5
2007-4-19	17.28	5.29
2007-4-20	21.83	2.17
2007-4-21	22.98	3.09
2007-4-22	27.08	5.54
2007-4-23	25.91	13.54
2007-4-24	21.63	9.94
2007-4-25	12.93	7.17
2007-4-26	16.92	7.1
2007-4-27	13.38	7.75
2007-4-28	21.29	6.22
2007-4-29	25.35	7.12
2007-4-30	22.37	12.46
2007-5-1	29.02	9.08
2007-5-2	19.11	9.17
2007-5-3	19.63	6.49
2007-5-4	22.87	7.55
2007-5-5	17.57	10.59
2007-5-6	17.51	7.55
2007-5-7	24.81	1.92
2007-5-8	30.22	13.29
2007-5-9	25.3	13.54
2007-5-10	28.5	12.42
2007-5-11	29.09	12.42
2007-5-12	22.26	9.03
2007-5-13	20.01	2.98
2007-5-14	28.68	5.77
2007-5-15	31.77	14.44
2007-5-16	15.52	7.79
2007-5-17	14.56	4.28
2007-5-18	20.3	1.67
2007-5-19	25.06	7.73
2007-5-20	25.84	13.18
2007-5-21	23.95	10.43
2007-5-22	30.31	9.71
2007-5-23	32.04	12.62
2007-5-24	32.06	14.4
2007-5-25	22.51	16.13
2007-5-26	23.46	15.32
2007-5-27	23.79	15.57
2007-5-28	27.28	10.84
2007-5-29	30.82	13.77
2007-5-30	31.84	16.88
2007-5-31	31.16	14.64
2007-6-1	30.87	19.17
2007-6-2	31.16	16.65
2007-6-3	25.35	17.14
2007-6-4	22.46	12.84
2007-6-5	19.56	10.99
2007-6-6	22.58	7.19
2007-6-7	33.14	14.67
2007-6-8	29.63	12.26
2007-6-9	25.48	9.62
2007-6-10	26.45	9.33
2007-6-11	28.64	11.49
2007-6-12	29.74	14.06
2007-6-13	31.88	16.74
2007-6-14	32.4	16.41
2007-6-15	29.92	14.96
2007-6-16	32.94	13.23
2007-6-17	32.85	20.41
2007-6-18	33.75	20.87
2007-6-19	26.83	16.18
2007-6-20	26.7	12.76
2007-6-21	29.72	16.2
2007-6-22	25.53	15.48
2007-6-23	23.37	12.57
2007-6-24	24.58	15.52
2007-6-25	31.05	17.69
2007-6-26	32.27	19.53
2007-6-27	31.09	19.85
2007-6-28	24.76	18.43
2007-6-29	24.52	15.09
2007-6-30	27.11	11.29
2007-7-1	25.1	13.63
2007-7-2	24.92	9.01
2007-7-3	29.16	13.86
2007-7-4	27.64	17.82
2007-7-5	30.96	16.94
2007-7-6	29.67	15.21
2007-7-7	31.03	12.76
2007-7-8	34.79	18.86
2007-7-9	33.87	20.87
2007-7-10	33.12	19.94
2007-7-11	24.87	13.74
2007-7-12	26.59	12.98
2007-7-13	24.42	9.73
2007-7-14	29.33	11.16
2007-7-15	26.99	14.24
2007-7-16	28.46	12.1
2007-7-17	24.61	18.03
2007-7-18	31.18	18.46
2007-7-19	26.07	15.68
2007-7-20	24.31	12.1
2007-7-21	24.74	11.78
2007-7-22	26.72	10.71
2007-7-23	27.62	12.03
2007-7-24	28.43	15.34
2007-7-25	26.79	14.58
2007-7-26	24.97	16.24
2007-7-27	29.69	19.83
2007-7-28	28.43	19.51
2007-7-29	29.2	16.27
2007-7-30	31.03	16.61
2007-7-31	32.63	15.95
2007-8-1	32.98	17.89
2007-8-2	32.27	18.86
2007-8-3	31.52	16.16
2007-8-4	28.57	11.78
2007-8-5	26.77	16.97
2007-8-6	30.96	21.58
2007-8-7	32.69	21.74
2007-8-8	32.4	22.71
2007-8-9	29.31	21.45
2007-8-10	28.14	20.66
2007-8-11	29.92	18.09
2007-8-12	29.99	19.17
2007-8-13	26.14	14.42
2007-8-14	27.56	13.11
2007-8-15	27.92	18.27
2007-8-16	27.17	17.76
2007-8-17	24.99	13.66
2007-8-18	20.66	9.69
2007-8-19	17.1	13.95
2007-8-20	22.56	16.76
2007-8-21	23.86	17.12
2007-8-22	30.8	21.13
2007-8-23	31.38	20.32
2007-8-24	30.31	19.98
2007-8-25	24.81	16.43
2007-8-26	25.39	13.81
2007-8-27	26.41	11.61
2007-8-28	30.26	15.5
2007-8-29	32.22	17.03
2007-8-30	24.24	15.14
2007-8-31	24.24	11.65
2007-9-1	26.43	10.61
2007-9-2	27.28	10.61
2007-9-3	29.07	12.28
2007-9-4	30.96	14.76
2007-9-5	31.16	13.63
2007-9-6	27.62	16.72
2007-9-7	27.94	19.36
2007-9-8	26.45	18.63
2007-9-9	25.82	16.88
2007-9-10	24.18	15.37
2007-9-11	20.91	10.27
2007-9-12	19.76	6.65
2007-9-13	24.24	7.14
2007-9-14	19.96	6.94
2007-9-15	15.98	3.99
2007-9-16	19.42	1.76
2007-9-17	23.99	4.93
2007-9-18	28.5	10.32
2007-9-19	29.24	12.82
2007-9-20	28.5	14.87
2007-9-21	30.71	13.61
2007-9-22	24.74	10.5
2007-9-23	27.96	8
2007-9-24	33.46	12.64
2007-9-25	29.31	20.14
2007-9-26	20.06	15.12
2007-9-27	23.73	10.01
2007-9-28	22.84	8.54
2007-9-29	24.78	4.78
2007-9-30	28.12	8.34
2007-10-1	23.63	15.09
2007-10-2	25.35	14.81
2007-10-3	24.83	10.03
2007-10-4	28.43	9.51
2007-10-5	31.77	15.12
2007-10-6	31.29	16.79
2007-10-7	31.79	16.49
2007-10-8	31.74	17.01
2007-10-9	24.27	11.29
2007-10-10	12.01	7.62
2007-10-11	12.66	5.74
2007-10-12	12.64	2.62
2007-10-13	15.82	0.27
2007-10-14	18.12	9.19
2007-10-15	25.8	7.77
2007-10-16	19.98	14.6
2007-10-17	23.84	10.25
2007-10-18	25.84	17.76
2007-10-19	21.41	12.66
2007-10-20	21.18	8.79
2007-10-21	26.23	13.81
2007-10-22	22.35	10.75
2007-10-23	13.92	7.17
2007-10-24	11.67	5.29
2007-10-25	14.85	4.1
2007-10-26	21.29	9.53
2007-10-27	12.28	2.19
2007-10-28	13.07	0.54
2007-10-29	14.78	-0.83
2007-10-30	17.1	0.34
2007-10-31	17.78	5.54
2007-11-1	12.17	0.25
2007-11-2	13.61	-1.87
2007-11-3	13.77	-0.11
2007-11-4	12.82	-0.29
2007-11-5	13.02	1.4
2007-11-6	5.03	1.02
2007-11-7	5.27	1.11
2007-11-8	8.94	0.21
2007-11-9	10.63	0.5
2007-11-10	8.74	0.14
2007-11-11	8.47	1.81
2007-11-12	18.32	8.63
2007-11-13	14.44	1.28
2007-11-14	15.32	6.63
2007-11-15	6.67	0.81
2007-11-16	4.67	-1.17
2007-11-17	4.33	0.27
2007-11-18	5.32	0.38
2007-11-19	14.49	1.78
2007-11-20	15.5	13.38
2007-11-21	15.57	3.97
2007-11-22	3.86	-0.41
2007-11-23	1.83	-4.23
2007-11-24	1.96	-4.93
2007-11-25	3.16	-5.51
2007-11-26	3.11	0.66
2007-11-27	3.97	-6.2
2007-11-28	7.44	-7.08
2007-11-29	6.89	-4.89
2007-11-30	4.62	-7.74
2007-12-1	-0.86	-9.12
2007-12-2	12.12	-0.7
2007-12-3	1.67	-3.24
2007-12-4	-0.61	-4.01
2007-12-5	-3.63	-14.31
2007-12-6	-3.31	-14.98
2007-12-7	-0.72	-5.13
2007-12-8	-0.47	-6.31
2007-12-9	-1.19	-3.03
2007-12-10	-0.49	-2.36
2007-12-11	1.67	-1.33
2007-12-12	3.63	-0.88
2007-12-13	2.37	-0.81
2007-12-14	-0.2	-2.55
2007-12-15	-1.13	-3.38
2007-12-16	-1.22	-5.68
2007-12-17	-5.81	-7.77
2007-12-18	2.48	-8.77
2007-12-19	2.86	-3.43
2007-12-20	0.49	-9.44
2007-12-21	1.44	-4.92
2007-12-22	8.07	1.6
2007-12-23	10.41	-6.19
2007-12-24	-2.34	-5.35
2007-12-25	1.53	-4.4
2007-12-26	7.59	-6.87
2007-12-27	1.47	-0.38
2007-12-28	2.86	-1.03
2007-12-29	1.08	-3.24
2007-12-30	-1.28	-4.28
2007-12-31	2.23	-4.78
2008-1-1	0.86	-6.88
2008-1-2	-5.46	-15.91
2008-1-3	-7.77	-16.14
2008-1-4	0.97	-8.07
2008-1-5	4.01	0.49
2008-1-6	13.59	3.69
2008-1-7	18.07	10.86
2008-1-8	15.23	7.1
2008-1-9	6.33	-0.63
2008-1-10	9.71	-0.61
2008-1-11	8.81	0.52
2008-1-12	4.37	-0.79
2008-1-13	3.79	-0.65
2008-1-14	-0.52	-5.81
2008-1-15	-4.2	-9.81
2008-1-16	0.41	-11.48
2008-1-17	1.36	-6.22
2008-1-18	-1.69	-9.83
2008-1-19	-3.38	-16.21
2008-1-20	-11.17	-18.33
2008-1-21	-3.57	-14.41
2008-1-22	-0.38	-11.95
2008-1-23	-6.33	-13.4
2008-1-24	-7.32	-14.67
2008-1-25	-7.11	-20.34
2008-1-26	-1.15	-7.78
2008-1-27	-1.48	-10.65
2008-1-28	5.7	-10.33
2008-1-29	9.8	-7.03
2008-1-30	-7.73	-15.39
2008-1-31	-4.73	-12.44
2008-2-1	0.02	-5.48
2008-2-2	-0.38	-6.88
2008-2-3	0.9	-8.02
2008-2-4	9.53	-1.28
2008-2-5	9.53	1.17
2008-2-6	1.31	-0.29
2008-2-7	-0.29	-4.47
2008-2-8	2.17	-1.96
2008-2-9	2.91	-1.67
2008-2-10	-1.56	-16.99
2008-2-11	-10.41	-17.13
2008-2-12	-7.32	-11.96
2008-2-13	-3.99	-15.16
2008-2-14	0.16	-14.18
2008-2-15	1.15	-11.26
2008-2-16	-1.8	-14.23
2008-2-17	12.42	-2.74
2008-2-18	0.36	-9.78
2008-2-19	-8.9	-13.44
2008-2-20	-5.87	-12.01
2008-2-21	-5.33	-14.87
2008-2-22	-0.45	-7.04
2008-2-23	1.51	-8.84
2008-2-24	3.09	-8.16
2008-2-25	0.34	-3.03
2008-2-26	0.49	-6.11
2008-2-27	-4.97	-14.59
2008-2-28	-3.08	-13.43
2008-2-29	3.07	-7.88
2008-3-1	0.72	-4.79
2008-3-2	9.26	-1.89
2008-3-3	12.26	-0.74
2008-3-4	-0.7	-4.71
2008-3-5	0.45	-8.64
2008-3-6	1.73	-3.33
2008-3-7	-2.34	-5.72
2008-3-8	-2.71	-8.87
2008-3-9	0.41	-9.22
2008-3-10	2.17	-4.46
2008-3-11	3.24	-6.49
2008-3-12	6.06	-1.82
2008-3-13	12.33	-0.13
2008-3-14	12.96	1.4
2008-3-15	6.67	-0.7
2008-3-16	3.76	-3.28
2008-3-17	1.71	-2.65
2008-3-18	11.65	0.97
2008-3-19	5.72	0.14
2008-3-20	7.06	-1.98
2008-3-21	-0.45	-2.05
2008-3-22	3	-4.56
2008-3-23	4.51	-6.17
2008-3-24	4.28	-4.22
2008-3-25	10.12	-0.81
2008-3-26	10.48	-0.81
2008-3-27	4.33	2.91
2008-3-28	3.3	-2.8
2008-3-29	6.7	-5
2008-3-30	7.8	-1.7
2008-3-31	14.69	14.69
2008-4-1	14.4	0
2008-4-2	7.8	-5
2008-4-3	13.3	-2.8
2008-4-4	11.7	3.9
2008-4-5	17.2	-1.7
2008-4-6	17.8	0.6
2008-4-7	22.2	3.3
2008-4-8	20.08	13.27
2008-4-9	18.97	3.18
2008-4-10	7.21	1.19
2008-4-11	20.77	7.37
2008-4-12	7.53	2.54
2008-4-13	4.28	1.06
2008-4-14	11.58	-1.98
2008-4-15	14.38	-2.41
2008-4-16	20.14	4.03
2008-4-17	23.79	7.93
2008-4-18	24.99	10.05
2008-4-19	19.69	11.06
2008-4-20	18.5	10.14
2008-4-21	23.12	7.98
2008-4-22	23.95	10.41
2008-4-23	24.92	11.56
2008-4-24	22.84	8.74
2008-4-25	27.33	11.89
2008-4-26	22.24	7.79
2008-4-27	16.38	4.42
2008-4-28	13.88	3.24
2008-4-29	10.63	-0.67
2008-4-30	14.36	-2.87
2008-5-1	25.01	6.15
2008-5-2	22.76	16.61
2008-5-3	21.32	7.41
2008-5-4	19.87	2.62
2008-5-5	23.82	6.42
2008-5-6	26.79	7.71
2008-5-7	19.83	13.88
2008-5-8	14.73	8.88
2008-5-9	17.96	8.63
2008-5-10	19.78	5.99
2008-5-11	13.47	9.49
2008-5-12	16.45	6.96
2008-5-13	20.87	4.73
2008-5-14	15.86	10.61
2008-5-15	14.76	6.36
2008-5-16	20.73	8.63
2008-5-17	21.92	10.32
2008-5-18	13.99	5.38
2008-5-19	16.56	3.86
2008-5-20	17.17	8.09
